product,quality,bytes,ship_px,psnr
crop wake q60,60,3655,72.0,35.450468835743735
crop wake q80,80,5319,72.0,38.222961477445835
crop wake q95,95,10826,72.0,45.452741706999255
crop wake jp2,-1,20394,72.0,43.36523856324221
crop tight q20,20,821,42.000384,25.815715480391887
crop tight q40,40,954,42.000384,28.645300523345508
crop tight q60,60,1064,42.000384,30.720523376917235
crop tight q80,80,1282,42.000384,34.42439644207768
crop tight q95,95,1952,42.000384,42.077704104233426
crop tight jp2,-1,1774,42.000384,36.446556940395624
crop context q20,20,908,42.000384,28.13050176806911
crop context q40,40,1108,42.000384,30.642238664060585
crop context q60,60,1299,42.000384,32.91497082138864
crop context q80,80,1653,42.000384,36.5213110620537
crop context q95,95,2699,42.000384,44.53157763913399
crop context jp2,-1,3404,42.000384,40.31195810058008
crop wake q20,20,1092,42.000384,30.034859210927788
crop wake q40,40,1480,42.000384,32.73455809243376
crop wake q60,60,1814,42.000384,34.71992583901426
crop wake q80,80,2469,42.000384,37.78959655028788
crop wake q95,95,4647,42.000384,43.989771108463614
crop wake jp2,-1,7609,42.000384,42.970956042637134
thumbnail 96px,60,2194,,
whole tile q40,40,83120,,33.51836101771629
whole tile q60,60,101453,,35.584447261601454
crop tight q20,20,689,20.000256,31.351584844664423
crop tight q40,40,712,20.000256,34.639185511018255
crop tight q60,60,732,20.000256,36.869119092480446
crop tight q80,80,777,20.000256,41.59959067319441
crop tight q95,95,888,20.000256,47.42745640721161
crop context q20,20,741,20.000256,30.434662360589154
crop context q40,40,796,20.000256,34.192449158296625
crop context q60,60,838,20.000256,36.07506263615321
crop context q80,80,916,20.000256,38.04152391428595
crop context q95,95,1200,20.000256,43.373321607378955
crop context jp2,-1,801,20.000256,33.192536627136896
crop wake q20,20,919,20.000256,30.626445727090974
crop wake q40,40,1043,20.000256,33.68988589858602
crop wake q60,60,1145,20.000256,35.60075115835136
crop wake q80,80,1347,20.000256,38.03585039522572
crop wake q95,95,2063,20.000256,43.142744793706655
crop wake jp2,-1,1928,20.000256,37.89459453159557
thumbnail 96px,60,2319,,
whole tile q40,40,45089,,36.24985671028843
whole tile q60,60,57715,,38.38272024801695
crop tight q20,20,996,105.000192,33.69722518924094
crop tight q40,40,1211,105.000192,37.00386140524182
crop tight q60,60,1450,105.000192,38.5886394526854
crop tight q80,80,1893,105.000192,41.595128597377865
crop tight q95,95,3250,105.000192,45.835078353432046
crop tight jp2,-1,6880,105.000192,48.510056682619044
crop context q20,20,1151,105.000192,34.83464984237862
