image,quality,bytes,psnr_db,ships,found,n_pred
4021b56d6.jpg,q40,59906,35.62366933963571,0,0,0
4021b56d6.jpg,q30,52090,34.42056637781826,0,0,0
4021b56d6.jpg,q20,39710,32.13151260017396,0,0,0
402fa9eb2.jpg,original,236560,inf,1,1,1
402fa9eb2.jpg,q60,91854,35.906297400190354,1,1,1
402fa9eb2.jpg,q40,74037,33.76767785592589,1,1,1
402fa9eb2.jpg,q30,64658,32.64890971267516,1,1,1
402fa9eb2.jpg,q20,50806,30.614039772646592,1,1,1
40a3703ec.jpg,original,375326,inf,1,0,0
40a3703ec.jpg,q60,131829,27.13089803996946,1,0,0
40a3703ec.jpg,q40,103108,25.290578440321568,1,0,0
40a3703ec.jpg,q30,88281,24.601634501391448,1,0,0
40a3703ec.jpg,q20,64454,23.461618391246333,1,0,0
41b682e28.jpg,original,274866,inf,3,3,3
41b682e28.jpg,q60,108614,34.58172902912979,3,3,3
41b682e28.jpg,q40,87678,32.55140990991877,3,3,3
41b682e28.jpg,q30,76979,31.49711739909231,3,3,3
41b682e28.jpg,q20,61510,29.623498155880718,3,3,3
43c11e6f8.jpg,original,230944,inf,0,0,0
43c11e6f8.jpg,q60,89278,36.255775668889655,0,0,0
43c11e6f8.jpg,q40,72081,34.310267303224045,0,0,0
43c11e6f8.jpg,q30,62857,33.04241295578595,0,0,0
43c11e6f8.jpg,q20,50039,31.442220720859588,0,0,0
